pesel,lecturer_rating,instructor_rating,course_rating
59940820100,8,5,2
17032443300,5,7,5
32106683500,6,5,6
67777315700,7,8,6
76121735600,5,7,6
43503198500,8,6,4
45310970100,8,7,9
22588126300,6,7,4
82913320900,8,5,3
79327462700,5,9,5
08758276300,9,5,5
52390272700,8,6,6
89497235100,9,8,9
30521108900,7,8,4
22599297500,2,5,3
00549210800,3,5,6
62104277400,4,9,6
13332281000,7,8,7
74522135600,6,6,6
70029685700,5,9,5
57328279700,6,8,4
29366941600,8,8,1
70196639400,7,7,3
87430704900,4,3,3
70563362700,7,3,3
82641017700,5,0,6
89125928800,6,6,4
66554204300,8,2,4
33894658900,6,7,1
08038262600,6,4,4
13358025800,9,5,8
30369230600,7,7,7
89683398300,3,6,8
12007726000,6,5,5
26248496000,2,2,7
74327772400,6,4,4
53570499200,6,6,5
74632521800,3,3,7
38057909700,5,6,6
39228545400,3,6,4
16745400900,6,6,6
56550330100,4,5,3
73487635000,5,6,4
75461853900,5,0,7
79973917600,8,4,6
18432757000,6,6,5
81890194000,7,5,4
05442256100,2,6,1
54710797500,7,6,5
05255096800,2,4,7
76163356500,5,7,5
33126250100,8,4,4
75865184900,8,6,9
76408929700,8,6,5
00752234900,5,4,6
29983322300,5,6,6
56248093100,5,5,4
65059025300,5,5,4
03891435900,5,7,3
17107086200,8,2,5
67468562700,5,7,4
46667406700,4,5,6
77316119200,6,7,1
46787419900,8,8,6
32827606500,7,5,7
33467943700,9,7,6
59343244000,7,5,3
73282195500,6,6,1
10352624900,6,9,6
53835390000,6,5,6
78206856100,3,1,5
84331636100,6,1,6
79750193700,6,6,4
35549778700,6,8,6
36069400300,7,3,5
76110452500,5,6,7
70056062300,5,6,3
83992727200,7,8,4
83727492700,1,6,5
70750615900,7,6,7
20209748800,3,7,3
59892859000,6,8,4
36863117900,3,5,8
09232973000,6,6,5
39019540500,4,7,6
06619598000,6,4,5
27349650300,9,6,6
48548649700,6,5,6
07889970100,4,8,6
76311595200,4,5,5
89547274600,7,6,6
36722224400,6,2,4
55008817800,6,8,7
52966236800,3,6,3
70081908000,6,7,6
09965496000,7,5,2
62696599000,9,6,1
07386168200,7,9,6
59421517700,8,5,6
33837819300,3,6,3
22613837800,7,5,5
21460482900,6,0,4
78703104900,8,7,6
48737088800,3,5,6
72184085000,8,7,5
05930997600,8,3,7
76398942700,6,6,4
36357424800,4,8,5
59382061700,9,6,6
46058136000,5,6,7
46760063900,7,3,5
55378496900,5,7,3
74990241400,6,1,6
17663981100,9,5,5
16861708600,7,5,7
05508587900,4,6,5
50662578900,5,8,7
87573617700,7,6,6
47636945700,4,6,6
67590704800,8,6,9
50617828400,5,6,7
28192003400,8,8,7
50691403800,7,6,5
45875668600,8,7,3
65146386700,7,4,7
81653991300,4,7,9
88235298800,7,6,6
21764108800,5,1,7
18525006300,9,7,4
06697018400,3,6,5
63699231400,7,7,7
33252378900,6,5,6
25477385300,5,9,5
18255027500,7,6,7
76730793700,4,4,8
01006702600,8,5,8
75776519800,6,8,5
39757199800,7,6,6
49452657200,8,7,7
55567552800,3,7,7
53075559500,6,4,6
13963765300,5,7,6
78221301400,6,9,7
16778024100,3,6,4
48015920200,5,4,6
09710994400,3,8,9
06509110100,7,6,6
36070097300,6,7,1
36836338600,7,7,6
32487625800,8,8,6
57766238700,7,7,6
41817127700,8,5,6
19957243400,9,8,4
80197400500,6,5,5
07988106300,9,7,8
10768716100,6,6,3
75629998700,3,6,5
57892562900,5,8,3
39420456500,6,6,7
16051529800,6,8,6
01549016900,6,2,1
58912658100,7,5,6
13855854900,5,7,3
48932578800,2,5,4
78788401400,6,2,4
49426824900,5,5,4
38912049700,7,7,6
22462227300,6,4,7
28374037000,5,7,5
70016426400,6,9,5
72758624700,6,8,9
52057944900,6,6,6
55695249000,7,5,3
23646782600,6,6,3
49879775500,5,6,7
54254330200,6,9,6
83917009400,5,6,8
80491415900,6,3,6
64430182400,1,6,6
35370987700,5,6,6
59910250800,5,5,4
06937563800,5,7,5
11294515900,7,8,3
19993697800,5,9,6
59740504700,4,7,6
60703866600,4,6,2
89127573200,2,8,4
27066298500,3,6,1
71236229900,5,7,6
10905884800,7,3,5
56992669900,8,1,2
22804837800,1,6,6
42130529700,8,7,5
86166530100,5,2,7
25753333400,3,6,6
61030866100,9,5,5
67112458400,8,6,7
13132978200,9,6,7
03474324500,6,5,6
84566164000,6,9,4
76529713500,5,6,2
38214273000,5,4,5
59176815700,4,5,6
24958013600,7,5,6
40179026100,1,6,1
59790546900,7,5,6
42775597200,6,9,9
88122550700,7,4,4
14405054100,6,6,6
17763002700,5,9,5
14892754500,6,5,4
80956984500,7,5,7
80558450300,4,6,5
50417128100,5,7,5
28678980500,9,2,6
27683701000,4,6,2
63566634300,5,7,2
73651554900,4,6,5
32310322700,8,5,6
25541814800,5,9,8
42317320000,7,7,1
69217619000,7,1,7
32273953300,5,6,9
01776769300,7,8,5
22663693600,8,4,0
87784336500,4,5,6
21104997600,0,6,5
55766056000,7,9,5
52914297700,6,9,4
30307511800,5,7,6
88658992700,6,4,6
49834373100,6,2,1
37254037400,8,7,4
81577761700,2,4,7
09434046100,4,8,4
49524692300,7,7,5
50068539200,2,4,5
18562650600,6,7,7
67737039700,7,9,6
72103047900,6,7,4
10947470900,5,6,5
70469119000,7,7,8
35684850600,5,4,5
03660266500,7,5,7
52998623200,7,8,2
60942919800,4,5,5
39157543900,6,5,8
58872312600,2,8,5
02480077700,8,6,9
32325467000,5,6,3
28629891500,2,5,6
13632699700,5,0,7
52061498500,7,6,7
11987378000,7,6,6
54671471300,7,7,4
03107032400,6,6,3
21015587100,6,8,7
72638499700,6,7,4
45607970000,7,8,5
46841955800,5,5,6
67028076700,4,7,2
04338242700,7,6,5
55360667500,5,5,3
22226580200,3,6,4
19529726800,3,7,6
01943572700,5,6,2
79349353500,2,7,7
10103079000,9,8,8
24382896700,6,2,8
31813932800,6,5,4
73915642700,8,4,3
33293458500,7,3,4
65228544000,8,7,2
21101455600,3,4,4
11159734200,6,7,0
16871353700,5,6,3
88552826800,8,7,4
44560676000,8,4,7
44794143800,7,7,6
83861884300,4,4,6
09675124500,7,6,4
33784496500,7,6,6
21714647800,5,3,7
88811087600,7,6,6
59779448900,5,3,5
38510606700,8,4,6
36005094400,8,8,8
66118334400,7,8,6
63546642200,7,7,6
14565522900,6,6,4
36639586100,7,6,3
21814379800,3,6,5
72212986600,5,5,6
05670555300,4,5,5
45884522100,6,8,6
71675025900,4,7,5
46306156000,7,7,6
03286853300,7,1,6
17886936300,5,6,4
12705265000,5,9,9
32496673100,3,6,6
43084856300,6,4,7
56856312200,6,4,5
01829045700,7,1,5
25420651500,5,6,5
80380868500,7,7,1
55728817100,7,7,4
49141452400,7,6,7
34634292900,6,6,5
19764863800,5,6,3
82090309800,8,6,7
68862991500,7,3,5
37186904200,6,7,4
81012470300,3,7,9
68466068200,5,7,7
88986721800,2,6,3
70239113000,7,7,2
54307103100,9,6,6
60369495000,7,6,6
56753558000,7,0,6
23856791600,7,6,6
06286574700,9,8,4
02057548300,6,6,5
25234680800,7,5,4
15932862900,9,6,6
87876726200,7,7,4
36243670400,5,8,4
75426701200,7,6,5
42273753700,2,3,3
49306644400,4,6,1
42307008800,5,6,4
78147109600,7,4,7
53473893500,4,3,4
63020593200,4,5,6
62152845300,4,8,3
63582905200,6,1,5
84116085900,3,8,9
85196845300,8,5,5
85823629700,6,8,7
46339888900,2,2,4
17321986500,5,6,7
83276611600,7,6,4
18379051000,9,4,8
00541318900,4,5,5
48302790100,5,6,7
47288914100,4,8,5
10232592600,2,5,4
05749182300,7,9,5
10503316800,6,2,1
39746213400,1,4,8
44398984200,4,5,7
29485289900,5,8,7
12360053200,6,8,4
50617368000,4,5,5
22634358300,2,1,2
37175816500,8,5,7
29794070900,6,5,9
45683889000,7,8,3
28984610700,6,6,7
81175453100,7,5,7
11362069500,6,9,5
53824290100,7,7,3
86540542600,7,1,7
69717059900,8,5,7
64518635400,6,6,4
44317803000,8,7,4
40019273900,5,7,5
45768437200,5,6,5
31874743900,4,5,7
47068998000,8,6,4
21303158700,2,5,4
04275491000,7,7,7
66496984000,7,5,7
57383538500,5,5,2
86261742800,4,1,5
39630681100,5,6,9
79971276500,4,8,5
63048958000,9,7,7
27231224900,1,8,7
54566348000,6,5,5
43576648200,4,6,7
53664172700,9,7,4
64418086800,5,6,4
38630600700,4,5,7
28690964300,3,6,3
41644972400,9,8,9
34758538200,9,7,7
47463664300,5,7,6
88806323200,9,5,6
66307950000,7,8,5
64186172500,6,6,8
11952709600,4,7,3
