pesel,exam_type,score,attempt_number,exam_date,city
67314819100,PRACTICE,90,1,2015-03-11,Mlawa
50793695900,PRACTICE,57.0,1,2015-03-05,Lodz - Maratonska
50793695900,PRACTICE,57.949999999999996,2,2015-03-05,Tarnogrzeg
50793695900,PRACTICE,72.2,3,2015-03-05,Olawa
50793695900,PRACTICE,71.25,4,2015-03-05,Lublin
50793695900,PRACTICE,84.55,5,2015-03-05,Chelm
20539880500,PRACTICE,61,1,2015-03-11,Zielona Gora
20539880500,PRACTICE,55,2,2015-03-11,Biala Podlaska
20539880500,PRACTICE,57,3,2015-03-11,Bielsk Podlaski
20539880500,PRACTICE,59,4,2015-03-11,Kedzierzyn Kozle
20539880500,PRACTICE,99,5,2015-03-11,Bielsk Podlaski
05884237000,PRACTICE,71,1,2015-03-11,Ostrowiec Swietokrzyski
05884237000,PRACTICE,69,2,2015-03-11,Elblag
05884237000,PRACTICE,75,3,2015-03-11,Walbrzych
55191717700,PRACTICE,60.8,1,2015-03-06,Dabrowa Gornicza
55191717700,PRACTICE,80.75,2,2015-03-06,Ciechanow
49265587000,PRACTICE,98,1,2015-03-11,Szczecin
33820216900,PRACTICE,78.85,1,2015-03-06,Bilgoraj
86676675000,PRACTICE,80,1,2015-03-11,Bielsko Biala
14540913100,PRACTICE,56,1,2015-03-11,Lukow
14540913100,PRACTICE,91,2,2015-03-11,Siedlce
28137557500,PRACTICE,88,1,2015-03-11,Bielsko Biala
69480420000,PRACTICE,68.39999999999999,1,2015-03-06,Barlinek
69480420000,PRACTICE,64.6,2,2015-03-06,Jelenia Gora
69480420000,PRACTICE,90.25,3,2015-03-06,Wroclaw
06493818900,PRACTICE,77.89999999999999,1,2015-03-06,Gdynia
57966210700,PRACTICE,77,1,2015-03-11,Rybnik
83786162100,PRACTICE,51,1,2015-03-12,Koszalin
83786162100,PRACTICE,89,2,2015-03-12,Suwalki
66801265600,PRACTICE,54.15,1,2015-03-05,Kielce
66801265600,PRACTICE,52.25,2,2015-03-05,Nysa
66801265600,PRACTICE,56.05,3,2015-03-05,Krakow - Nowohucka
66801265600,PRACTICE,55.099999999999994,4,2015-03-05,Pila
66801265600,PRACTICE,94.05,5,2015-03-05,Piotrkow Trybunalski
80183012400,PRACTICE,74,1,2015-03-11,Gdynia
80183012400,PRACTICE,62,2,2015-03-11,Leszno
80183012400,PRACTICE,88,3,2015-03-11,Luban
30408976900,PRACTICE,70,1,2015-03-11,Sochaczew
30408976900,PRACTICE,64,2,2015-03-11,Lukow
30408976900,PRACTICE,99,3,2015-03-11,Grudziadz
15795382900,PRACTICE,81.7,1,2015-03-06,Lubin
70716835600,PRACTICE,63.65,1,2015-03-05,Lodz - Smutna
70716835600,PRACTICE,65.55,2,2015-03-05,Luban
70716835600,PRACTICE,79.8,3,2015-03-05,Olesnica
76576998500,PRACTICE,68.39999999999999,1,2015-03-05,Poznan
76576998500,PRACTICE,79.8,2,2015-03-05,Milicz
63957317800,PRACTICE,98,1,2015-03-12,Przemysl
82237963200,PRACTICE,85,1,2015-03-12,Bilgoraj
71781248700,PRACTICE,90.25,1,2015-03-05,Katowice
86250242600,PRACTICE,67,1,2015-03-12,Krosno
86250242600,PRACTICE,59,2,2015-03-12,Olesnica
86250242600,PRACTICE,68,3,2015-03-12,Nysa
86250242600,PRACTICE,98,4,2015-03-12,Radom
56510072000,PRACTICE,99,1,2015-03-11,Bydgoszcz
42710127600,PRACTICE,65,1,2015-03-11,Swidnica
42710127600,PRACTICE,75,2,2015-03-11,Bialystok
03712877300,PRACTICE,64,1,2015-03-12,Milicz
03712877300,PRACTICE,80,2,2015-03-12,Bilgoraj
38353555000,PRACTICE,54,1,2015-03-11,Lukow
38353555000,PRACTICE,88,2,2015-03-11,Biala Podlaska
67102178900,PRACTICE,83.6,1,2015-03-06,Piotrkow Trybunalski
80195692400,PRACTICE,53,1,2015-03-12,Koszalin
80195692400,PRACTICE,68,2,2015-03-12,Szczecin
80195692400,PRACTICE,82,3,2015-03-12,Legnica
34185957100,PRACTICE,85.5,1,2015-03-05,Oswiecim
15511792600,PRACTICE,97,1,2015-03-11,Inowroclaw
84631043600,PRACTICE,83.6,1,2015-03-05,Gdansk
41506081200,PRACTICE,68.39999999999999,1,2015-03-05,Opole
41506081200,PRACTICE,64.6,2,2015-03-05,Ostroleka
41506081200,PRACTICE,53.199999999999996,3,2015-03-05,Luban
41506081200,PRACTICE,79.8,4,2015-03-05,Tarnogrzeg
62159936000,PRACTICE,96,1,2015-03-11,Inowroclaw
09678522500,PRACTICE,100,1,2015-03-11,Koszalin
78796185700,PRACTICE,100,1,2015-03-12,Opole
85194639900,PRACTICE,93.1,1,2015-03-05,Zamosc
23291493000,PRACTICE,69.35,1,2015-03-06,Gdansk
23291493000,PRACTICE,50.349999999999994,2,2015-03-06,Wroclaw
23291493000,PRACTICE,59.849999999999994,3,2015-03-06,Chelm
23291493000,PRACTICE,64.6,4,2015-03-06,Kedzierzyn Kozle
23291493000,PRACTICE,88.35,5,2015-03-06,Czestochowa
40833761600,PRACTICE,74,1,2015-03-12,Lukow
40833761600,PRACTICE,85,2,2015-03-12,Nysa
58519402200,PRACTICE,59,1,2015-03-12,Bielsko Biala
58519402200,PRACTICE,75,2,2015-03-12,Pila
16454586400,PRACTICE,87.39999999999999,1,2015-03-06,Plock
37641745600,PRACTICE,66,1,2015-03-11,Konin
37641745600,PRACTICE,72,2,2015-03-11,Klodzko
37641745600,PRACTICE,97,3,2015-03-11,Biala Podlaska
02024632600,PRACTICE,69.35,1,2015-03-06,Ostrowiec Swietokrzyski
02024632600,PRACTICE,68.39999999999999,2,2015-03-06,Chelm
02024632600,PRACTICE,71.25,3,2015-03-06,Lodz - Smutna
02024632600,PRACTICE,68.39999999999999,4,2015-03-06,Radom
02024632600,PRACTICE,85.5,5,2015-03-06,Piotrkow Trybunalski
57891152500,PRACTICE,83,1,2015-03-11,Grojec
85097195000,PRACTICE,70,1,2015-03-11,Ostroleka
85097195000,PRACTICE,68,2,2015-03-11,Zwolen
85097195000,PRACTICE,68,3,2015-03-11,Krakow - Nowohucka
85097195000,PRACTICE,54,4,2015-03-11,Szczecinek
85097195000,PRACTICE,63,5,2015-03-11,Suwalki
85097195000,PRACTICE,75,6,2015-03-11,Kedzierzyn Kozle
61824139900,PRACTICE,53,1,2015-03-11,Boleslawiec
61824139900,PRACTICE,95,2,2015-03-11,Olsztyn
56566903600,PRACTICE,68,1,2015-03-11,Zielona Gora
56566903600,PRACTICE,92,2,2015-03-11,Katowice
35612883100,PRACTICE,100,1,2015-03-11,Bydgoszcz
02283043700,PRACTICE,63.65,1,2015-03-05,Poznan
02283043700,PRACTICE,95.0,2,2015-03-05,Rzeszow
43485078400,PRACTICE,82,1,2015-03-11,Gorzow Wielkopolski
13452398400,PRACTICE,51,1,2015-03-12,Gdynia
13452398400,PRACTICE,95,2,2015-03-12,Pulawy
16664573200,PRACTICE,100,1,2015-03-12,Elblag
06664818700,PRACTICE,54.15,1,2015-03-06,Skierniewice
06664818700,PRACTICE,56.05,2,2015-03-06,Skierniewice
06664818700,PRACTICE,78.85,3,2015-03-06,Grojec
21575543400,PRACTICE,99,1,2015-03-11,Klodzko
43613832700,PRACTICE,67.45,1,2015-03-06,Klodzko
43613832700,PRACTICE,71.25,2,2015-03-06,Radom
43613832700,PRACTICE,48.449999999999996,3,2015-03-06,Pila
43613832700,PRACTICE,48.449999999999996,4,2015-03-06,Grudziadz
43613832700,PRACTICE,85.5,5,2015-03-06,Poznan
25253708400,PRACTICE,92,1,2015-03-12,Gorzow Wielkopolski
01451378100,PRACTICE,61,1,2015-03-11,Ciechanow
01451378100,PRACTICE,92,2,2015-03-11,Warszawa - Odlewnicza
76705008000,PRACTICE,56,1,2015-03-12,Grudziadz
76705008000,PRACTICE,88,2,2015-03-12,Olesnica
62982865000,PRACTICE,67.45,1,2015-03-05,Jastrzebie Zdroj
62982865000,PRACTICE,88.35,2,2015-03-05,Biala Podlaska
57427929900,PRACTICE,94,1,2015-03-11,Warszawa - Radarowa
65840591000,PRACTICE,52,1,2015-03-11,Tarnow
65840591000,PRACTICE,69,2,2015-03-11,Szczecin
65840591000,PRACTICE,96,3,2015-03-11,Tarnow
37567201300,PRACTICE,72.2,1,2015-03-05,Lodz - Smutna
37567201300,PRACTICE,48.449999999999996,2,2015-03-05,Boleslawiec
37567201300,PRACTICE,95.0,3,2015-03-05,Krakow - Nowohucka
86376478100,PRACTICE,79.8,1,2015-03-06,Zamosc
28209910000,PRACTICE,80.75,1,2015-03-05,Sieradz
04644111300,PRACTICE,67.45,1,2015-03-05,Jelenia Gora
04644111300,PRACTICE,52.25,2,2015-03-05,Mlawa
04644111300,PRACTICE,70.3,3,2015-03-05,Torun
04644111300,PRACTICE,68.39999999999999,4,2015-03-05,Suwalki
04644111300,PRACTICE,72.2,5,2015-03-05,Lubin
04644111300,PRACTICE,71.25,6,2015-03-05,Torun
04644111300,PRACTICE,61.75,7,2015-03-05,Walbrzych
04644111300,PRACTICE,50.349999999999994,8,2015-03-05,Bilgoraj
04644111300,PRACTICE,51.3,9,2015-03-05,Bilgoraj
04644111300,PRACTICE,79.8,10,2015-03-05,Barlinek
25556713000,PRACTICE,51,1,2015-03-11,Kamienna Gora
25556713000,PRACTICE,59,2,2015-03-11,Tarnogrzeg
25556713000,PRACTICE,57,3,2015-03-11,Krakow - Balicka
25556713000,PRACTICE,99,4,2015-03-11,Krakow - Nowohucka
26006179600,PRACTICE,87.39999999999999,1,2015-03-05,Bialystok
10037837600,PRACTICE,98,1,2015-03-12,Torun
75351398600,PRACTICE,80,1,2015-03-12,Piotrkow Trybunalski
09397974800,PRACTICE,88.35,1,2015-03-06,Kedzierzyn Kozle
20867170000,PRACTICE,77.89999999999999,1,2015-03-06,Ostrowiec Swietokrzyski
72166921400,PRACTICE,80,1,2015-03-11,Krosno
71731893500,PRACTICE,96,1,2015-03-12,Katowice
