pesel,exam_type,score,attempt_number,exam_date,city
10000000001,PRACTICE,not passed,1,2015-12-23,Jastrzebie Zdroj
10000000001,PRACTICE,passed,2,2015-12-24,Jastrzebie Zdroj
10000000002,PRACTICE,not passed,1,2018-05-08,Warszawa - Odlewnicza
10000000002,PRACTICE,passed,2,2018-05-12,Warszawa - Odlewnicza
10000000003,PRACTICE,passed,1,2015-06-03,Milicz
10000000004,PRACTICE,not passed,1,2016-05-21,Opole
10000000004,PRACTICE,not passed,2,2016-05-22,Opole
10000000004,PRACTICE,not passed,3,2016-05-23,Opole
10000000004,PRACTICE,not passed,4,2016-05-26,Opole
10000000004,PRACTICE,not passed,5,2016-05-31,Opole
10000000004,PRACTICE,not passed,6,2016-06-05,Opole
10000000004,PRACTICE,not passed,7,2016-06-09,Opole
10000000004,PRACTICE,not passed,8,2016-06-11,Opole
10000000004,PRACTICE,not passed,9,2016-06-12,Opole
10000000004,PRACTICE,passed,10,2016-06-17,Opole
10000000005,PRACTICE,not passed,1,2015-12-14,Nysa
10000000005,PRACTICE,not passed,2,2015-12-19,Nysa
10000000005,PRACTICE,passed,3,2015-12-23,Nysa
10000000006,PRACTICE,not passed,1,2015-12-17,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,2,2015-12-22,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,3,2015-12-24,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,4,2015-12-25,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,5,2015-12-29,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,6,2016-01-01,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,7,2016-01-02,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,8,2016-01-05,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,9,2016-01-06,Piotrkow Trybunalski
10000000006,PRACTICE,not passed,10,2016-01-10,Piotrkow Trybunalski
10000000006,PRACTICE,passed,11,2016-01-12,Piotrkow Trybunalski
10000000007,PRACTICE,not passed,1,2018-04-24,Tarnogrzeg
10000000007,PRACTICE,not passed,2,2018-04-26,Tarnogrzeg
10000000007,PRACTICE,not passed,3,2018-04-28,Tarnogrzeg
10000000007,PRACTICE,not passed,4,2018-05-01,Tarnogrzeg
10000000007,PRACTICE,passed,5,2018-05-03,Tarnogrzeg
10000000008,PRACTICE,not passed,1,2015-10-28,Bydgoszcz
10000000008,PRACTICE,passed,2,2015-10-29,Bydgoszcz
10000000009,PRACTICE,not passed,1,2016-03-13,Szczecinek
10000000009,PRACTICE,passed,2,2016-03-14,Szczecinek
10000000010,PRACTICE,not passed,1,2018-03-19,Ostroleka
10000000010,PRACTICE,not passed,2,2018-03-23,Ostroleka
10000000010,PRACTICE,passed,3,2018-03-24,Ostroleka
10000000011,PRACTICE,passed,1,2016-01-19,Kedzierzyn Kozle
10000000012,PRACTICE,not passed,1,2017-08-21,Legnica
10000000012,PRACTICE,not passed,2,2017-08-26,Legnica
10000000012,PRACTICE,passed,3,2017-08-27,Legnica
10000000013,PRACTICE,passed,1,2019-07-28,Szczecinek
10000000014,PRACTICE,not passed,1,2015-05-15,Grudziadz
10000000014,PRACTICE,not passed,2,2015-05-19,Grudziadz
10000000014,PRACTICE,not passed,3,2015-05-24,Grudziadz
10000000014,PRACTICE,not passed,4,2015-05-27,Grudziadz
10000000014,PRACTICE,not passed,5,2015-06-01,Grudziadz
10000000014,PRACTICE,passed,6,2015-06-03,Grudziadz
10000000015,PRACTICE,not passed,1,2018-06-19,Szczecin
10000000015,PRACTICE,not passed,2,2018-06-22,Szczecin
10000000015,PRACTICE,not passed,3,2018-06-23,Szczecin
10000000015,PRACTICE,passed,4,2018-06-26,Szczecin
10000000016,PRACTICE,not passed,1,2019-08-06,Tarnogrzeg
10000000016,PRACTICE,not passed,2,2019-08-09,Tarnogrzeg
10000000016,PRACTICE,not passed,3,2019-08-10,Tarnogrzeg
10000000016,PRACTICE,not passed,4,2019-08-12,Tarnogrzeg
10000000016,PRACTICE,not passed,5,2019-08-15,Tarnogrzeg
10000000016,PRACTICE,not passed,6,2019-08-19,Tarnogrzeg
10000000016,PRACTICE,not passed,7,2019-08-22,Tarnogrzeg
10000000016,PRACTICE,passed,8,2019-08-23,Tarnogrzeg
10000000017,PRACTICE,not passed,1,2019-04-17,Leszno
10000000017,PRACTICE,not passed,2,2019-04-22,Leszno
10000000017,PRACTICE,not passed,3,2019-04-26,Leszno
