pesel,exam_type,score,attempt_number,exam_date,city
10000000001,THEORY,68,1,2015-12-11,Siedlce
10000000001,THEORY,72,2,2015-12-13,Siedlce
10000000001,THEORY,94,3,2015-12-15,Siedlce
10000000002,THEORY,76.95,1,2018-05-04,Glogow
10000000003,THEORY,41,1,2015-05-12,Gdansk
10000000003,THEORY,69,2,2015-05-14,Gdansk
10000000003,THEORY,52,3,2015-05-16,Gdansk
10000000003,THEORY,69,4,2015-05-18,Gdansk
10000000003,THEORY,66,5,2015-05-19,Gdansk
10000000003,THEORY,66,6,2015-05-23,Gdansk
10000000003,THEORY,80,7,2015-05-25,Gdansk
10000000004,THEORY,77,1,2016-05-14,Bytom
10000000005,THEORY,5.699999999999999,1,2015-12-05,Radom
10000000005,THEORY,76.95,2,2015-12-08,Radom
10000000006,THEORY,11.399999999999999,1,2015-12-08,Warszawa - Radarowa
10000000006,THEORY,88.35,2,2015-12-09,Warszawa - Radarowa
10000000007,THEORY,0.0,1,2018-03-12,Boleslawiec
10000000007,THEORY,24.7,2,2018-03-14,Boleslawiec
10000000007,THEORY,67.45,3,2018-03-15,Boleslawiec
10000000007,THEORY,46.55,4,2018-03-18,Boleslawiec
10000000007,THEORY,16.15,5,2018-03-23,Boleslawiec
10000000007,THEORY,13.299999999999999,6,2018-03-24,Boleslawiec
10000000007,THEORY,41.8,7,2018-03-29,Boleslawiec
10000000007,THEORY,33.25,8,2018-04-01,Boleslawiec
10000000007,THEORY,65.55,9,2018-04-02,Boleslawiec
10000000007,THEORY,10.45,10,2018-04-06,Boleslawiec
10000000007,THEORY,62.699999999999996,11,2018-04-09,Boleslawiec
10000000007,THEORY,34.199999999999996,12,2018-04-10,Boleslawiec
10000000007,THEORY,8.549999999999999,13,2018-04-12,Boleslawiec
10000000007,THEORY,67.45,14,2018-04-13,Boleslawiec
10000000007,THEORY,64.6,15,2018-04-17,Boleslawiec
10000000007,THEORY,94.05,16,2018-04-19,Boleslawiec
10000000008,THEORY,40,1,2015-10-14,Garwolin
10000000008,THEORY,40,2,2015-10-18,Garwolin
10000000008,THEORY,83,3,2015-10-21,Garwolin
10000000009,THEORY,4.75,1,2016-02-10,Pila
10000000009,THEORY,22.799999999999997,2,2016-02-13,Pila
10000000009,THEORY,21.849999999999998,3,2016-02-15,Pila
10000000009,THEORY,6.6499999999999995,4,2016-02-19,Pila
10000000009,THEORY,33.25,5,2016-02-24,Pila
10000000009,THEORY,25.65,6,2016-02-25,Pila
10000000009,THEORY,49.4,7,2016-03-01,Pila
10000000009,THEORY,28.5,8,2016-03-05,Pila
10000000009,THEORY,84.55,9,2016-03-09,Pila
10000000010,THEORY,56,1,2018-03-15,Nowy Sacz
10000000010,THEORY,93,2,2018-03-16,Nowy Sacz
10000000011,THEORY,0.0,1,2016-01-09,Lublin
10000000011,THEORY,11.399999999999999,2,2016-01-11,Lublin
10000000011,THEORY,87.39999999999999,3,2016-01-12,Lublin
10000000012,THEORY,39,1,2017-08-11,Wloclawek
10000000012,THEORY,22,2,2017-08-14,Wloclawek
10000000012,THEORY,86,3,2017-08-16,Wloclawek
10000000013,THEORY,73,1,2019-07-14,Lubin
10000000013,THEORY,5,2,2019-07-17,Lubin
10000000013,THEORY,62,3,2019-07-21,Lubin
10000000013,THEORY,81,4,2019-07-25,Lubin
10000000014,THEORY,36.1,1,2015-05-08,Poznan
10000000014,THEORY,88.35,2,2015-05-13,Poznan
10000000015,THEORY,76,1,2018-06-13,Kozienice
10000000016,THEORY,48.449999999999996,1,2019-07-05,Siedlce
10000000016,THEORY,30.4,2,2019-07-07,Siedlce
10000000016,THEORY,40.85,3,2019-07-08,Siedlce
10000000016,THEORY,4.75,4,2019-07-13,Siedlce
10000000016,THEORY,10.45,5,2019-07-15,Siedlce
10000000016,THEORY,19.95,6,2019-07-19,Siedlce
10000000016,THEORY,61.75,7,2019-07-21,Siedlce
10000000016,THEORY,63.65,8,2019-07-25,Siedlce
10000000016,THEORY,76.0,9,2019-07-27,Siedlce
10000000017,THEORY,37.05,1,2019-04-08,Bytom
10000000017,THEORY,79.8,2,2019-04-12,Bytom
10000000018,THEORY,27,1,2018-12-16,Nowy Sacz
10000000018,THEORY,27,2,2018-12-18,Nowy Sacz
10000000018,THEORY,95,3,2018-12-21,Nowy Sacz
10000000019,THEORY,3.8,1,2016-11-04,Rzeszow
10000000019,THEORY,38.949999999999996,2,2016-11-09,Rzeszow
10000000019,THEORY,22.799999999999997,3,2016-11-11,Rzeszow
10000000019,THEORY,6.6499999999999995,4,2016-11-16,Rzeszow
10000000019,THEORY,89.3,5,2016-11-21,Rzeszow
10000000020,THEORY,80.75,1,2015-09-06,Barlinek
10000000021,THEORY,22,1,2018-10-11,Dabrowa Gornicza
10000000021,THEORY,49,2,2018-10-13,Dabrowa Gornicza
10000000021,THEORY,37,3,2018-10-18,Dabrowa Gornicza
10000000021,THEORY,10,4,2018-10-23,Dabrowa Gornicza
10000000021,THEORY,91,5,2018-10-26,Dabrowa Gornicza
10000000022,THEORY,37.05,1,2015-04-07,Dabrowa Gornicza
10000000022,THEORY,93.1,2,2015-04-11,Dabrowa Gornicza
10000000023,THEORY,37.05,1,2016-09-06,Lubin
10000000023,THEORY,84.55,2,2016-09-07,Lubin
10000000024,THEORY,4.75,1,2019-05-06,Ciechanow
10000000024,THEORY,17.099999999999998,2,2019-05-11,Ciechanow
10000000024,THEORY,17.099999999999998,3,2019-05-13,Ciechanow
10000000024,THEORY,36.1,4,2019-05-15,Ciechanow
10000000024,THEORY,58.9,5,2019-05-19,Ciechanow
10000000024,THEORY,42.75,6,2019-05-21,Ciechanow
10000000024,THEORY,63.65,7,2019-05-26,Ciechanow
10000000024,THEORY,1.9,8,2019-05-30,Ciechanow
10000000024,THEORY,3.8,9,2019-06-01,Ciechanow
10000000024,THEORY,10.45,10,2019-06-04,Ciechanow
10000000024,THEORY,86.45,11,2019-06-07,Ciechanow
10000000025,THEORY,48,1,2016-11-10,Gdynia
10000000025,THEORY,30,2,2016-11-13,Gdynia
10000000025,THEORY,53,3,2016-11-15,Gdynia
10000000025,THEORY,61,4,2016-11-17,Gdynia
10000000025,THEORY,32,5,2016-11-19,Gdynia
10000000025,THEORY,54,6,2016-11-20,Gdynia
10000000025,THEORY,48,7,2016-11-21,Gdynia
10000000025,THEORY,16,8,2016-11-22,Gdynia
10000000025,THEORY,92,9,2016-11-24,Gdynia
10000000026,THEORY,35,1,2019-03-17,Nysa
